TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683168540316	7.336125	-0.909540	-0.472953	0.762268	-0.011673	0.030974	0.646414	img__0_1683168566551807000.png
1683168540382	7.353824	-0.798832	-0.452891	0.759858	-0.009966	0.028428	0.649391	img__0_1683168566617366000.png
1683168540433	7.366551	-0.714966	-0.438860	0.758011	-0.009703	0.025842	0.651658	img__0_1683168566669053000.png
1683168540484	7.378577	-0.632417	-0.425389	0.756154	-0.009837	0.024216	0.653871	img__0_1683168566718835000.png
1683168540526	7.387932	-0.565526	-0.417685	0.754642	-0.009657	0.023482	0.655646	img__0_1683168566760883000.png
1683168540574	7.398028	-0.490276	-0.413274	0.752832	-0.007790	0.023858	0.657734	img__0_1683168566811497000.png
1683168540628	7.408554	-0.406994	-0.412482	0.750650	-0.003564	0.023537	0.660271	img__0_1683168566863198000.png
1683168540670	7.416098	-0.343038	-0.413369	0.749058	-0.002344	0.019063	0.662227	img__0_1683168566905461000.png
1683168540718	7.424158	-0.270634	-0.415901	0.747573	-0.002124	0.011816	0.664071	img__0_1683168566954783000.png
1683168540787	7.435124	-0.167269	-0.418311	0.745335	0.005158	0.005142	0.666650	img__0_1683168567021807000.png
1683168540835	7.442364	-0.095456	-0.418867	0.743668	0.006405	0.000810	0.668518	img__0_1683168567069777000.png
1683168540883	7.449362	-0.023496	-0.419081	0.742038	0.007608	-0.002161	0.670311	img__0_1683168567119987000.png
1683168540937	7.457044	0.057780	-0.418305	0.740200	0.009271	-0.004431	0.672308	img__0_1683168567173009000.png
1683168540982	7.463317	0.125882	-0.417092	0.738668	0.009878	-0.005904	0.673972	img__0_1683168567219636000.png
1683168541030	7.469904	0.198973	-0.415489	0.737032	0.010710	-0.006480	0.675741	img__0_1683168567265933000.png
1683168541081	7.476783	0.277192	-0.413616	0.735287	0.010643	-0.006534	0.677641	img__0_1683168567317788000.png
1683168541144	7.485099	0.374629	-0.411418	0.733149	0.010809	-0.006525	0.679951	img__0_1683168567381718000.png
1683168541192	7.491298	0.449467	-0.409785	0.731512	0.011129	-0.006261	0.681709	img__0_1683168567426899000.png
1683168541237	7.496990	0.520100	-0.408113	0.729963	0.010873	-0.005649	0.683377	img__0_1683168567474325000.png
1683168541288	7.503278	0.600675	-0.406143	0.728207	0.009922	-0.004694	0.685269	img__0_1683168567523825000.png
1683168541336	7.509035	0.676965	-0.404312	0.726560	0.009147	-0.003518	0.687033	img__0_1683168567572702000.png
1683168541384	7.514623	0.753632	-0.402613	0.724899	0.008408	-0.002575	0.688799	img__0_1683168567620747000.png
1683168541435	7.520360	0.835449	-0.401219	0.723109	0.008660	-0.001849	0.690677	img__0_1683168567672718000.png
1683168541486	7.525863	0.917607	-0.400093	0.721303	0.007634	-0.000961	0.692576	img__0_1683168567723654000.png
1683168541549	7.532331	1.019479	-0.399143	0.719140	0.005644	-0.000051	0.694843	img__0_1683168567784825000.png
1683168541597	7.537043	1.097280	-0.398707	0.717544	0.004514	0.000663	0.696499	img__0_1683168567834035000.png
1683168541645	7.541586	1.175173	-0.398414	0.715955	0.004379	0.001326	0.698132	img__0_1683168567880676000.png
1683168541693	7.545949	1.253127	-0.398189	0.714340	0.004288	0.001947	0.699783	img__0_1683168567930141000.png
1683168541741	7.550113	1.331118	-0.398176	0.712677	0.003757	0.003277	0.701475	img__0_1683168567978713000.png
1683168541792	7.554296	1.413962	-0.398534	0.710903	0.002068	0.004175	0.703274	img__0_1683168568029528000.png
1683168541840	7.558015	1.491834	-0.399129	0.709199	0.001775	0.005483	0.704985	img__0_1683168568076458000.png
1683168541894	7.561907	1.579255	-0.400190	0.707120	0.003017	0.007496	0.707048	img__0_1683168568129286000.png
1683168541966	7.566440	1.695451	-0.402077	0.704080	0.004402	0.009080	0.710049	img__0_1683168568202665000.png
1683168542011	7.568803	1.767855	-0.403287	0.701993	0.005542	0.010008	0.712092	img__0_1683168568247069000.png
1683168542056	7.570727	1.840092	-0.404783	0.699780	0.005938	0.011265	0.714244	img__0_1683168568291411000.png
1683168542104	7.572249	1.916945	-0.406275	0.697256	0.007776	0.011990	0.716680	img__0_1683168568339138000.png
1683168542149	7.573107	1.988826	-0.407812	0.694764	0.007993	0.012691	0.719081	img__0_1683168568385901000.png
1683168542203	7.573368	2.074845	-0.409845	0.691639	0.007743	0.013806	0.722070	img__0_1683168568438114000.png
1683168542263	7.572637	2.170048	-0.412531	0.688068	0.006057	0.014604	0.725474	img__0_1683168568500303000.png
1683168542311	7.571301	2.245844	-0.415118	0.685245	0.004917	0.014627	0.728149	img__0_1683168568547935000.png
1683168542362	7.569205	2.325974	-0.418188	0.682249	0.003921	0.014339	0.730969	img__0_1683168568599923000.png
1683168542410	7.566639	2.400987	-0.421303	0.679453	0.002810	0.014041	0.733579	img__0_1683168568645732000.png
1683168542458	7.563542	2.475582	-0.424558	0.676653	0.002523	0.014351	0.736158	img__0_1683168568693994000.png
1683168542506	7.559922	2.549742	-0.427977	0.673836	0.002708	0.014404	0.738736	img__0_1683168568741421000.png
1683168542557	7.555497	2.628060	-0.431634	0.670797	0.003238	0.014842	0.741486	img__0_1683168568793881000.png
1683168542629	7.548206	2.737789	-0.436607	0.666463	0.002787	0.014843	0.745385	img__0_1683168568866943000.png
1683168542677	7.542677	2.810384	-0.439729	0.663571	0.002020	0.014711	0.747966	img__0_1683168568912308000.png
1683168542716	7.537805	2.869019	-0.442477	0.661231	0.001312	0.015006	0.750031	img__0_1683168568952964000.png
1683168542767	7.530927	2.945195	-0.446055	0.658048	0.002140	0.016548	0.752791	img__0_1683168569003257000.png
1683168542818	7.523413	3.020760	-0.449902	0.654776	0.001268	0.017697	0.755615	img__0_1683168569054253000.png
1683168542872	7.514762	3.100028	-0.454156	0.651245	0.000486	0.018629	0.758639	img__0_1683168569109813000.png
1683168542929	7.504856	3.182794	-0.458782	0.647395	0.000019	0.020137	0.761889	img__0_1683168569164410000.png
1683168542980	7.495296	3.255989	-0.462935	0.643802	0.000209	0.021602	0.764887	img__0_1683168569216824000.png
1683168543025	7.486277	3.319857	-0.466538	0.640501	0.001001	0.022659	0.767622	img__0_1683168569261696000.png
1683168543073	7.476001	3.387228	-0.470213	0.636786	0.002531	0.024146	0.770658	img__0_1683168569310935000.png
1683168543121	7.464945	3.453794	-0.474090	0.632812	0.003742	0.025677	0.773871	img__0_1683168569357659000.png
1683168543172	7.452249	3.523612	-0.478444	0.628314	0.003969	0.027424	0.777467	img__0_1683168569408116000.png
1683168543220	7.439354	3.588420	-0.482712	0.623842	0.004625	0.028983	0.780999	img__0_1683168569456592000.png
1683168543268	7.425494	3.652312	-0.486945	0.619182	0.006414	0.029476	0.784668	img__0_1683168569506037000.png
1683168543334	7.404719	3.738706	-0.492876	0.612499	0.009620	0.029154	0.789875	img__0_1683168569569917000.png
1683168543382	7.388287	3.800571	-0.496968	0.607444	0.009407	0.028666	0.793789	img__0_1683168569619651000.png
1683168543433	7.369617	3.865459	-0.500767	0.602037	0.010484	0.027509	0.797925	img__0_1683168569669700000.png
1683168543481	7.350914	3.925772	-0.503947	0.596863	0.009989	0.026969	0.801827	img__0_1683168569716545000.png
1683168543529	7.331129	3.985357	-0.507036	0.591659	0.009524	0.026176	0.805707	img__0_1683168569767324000.png
1683168543577	7.310297	4.044219	-0.510204	0.586457	0.009381	0.024989	0.809541	img__0_1683168569813536000.png
1683168543649	7.277174	4.131208	-0.515171	0.578631	0.009021	0.023880	0.815190	img__0_1683168569886971000.png
1683168543697	7.253919	4.188375	-0.517971	0.573346	0.008797	0.023182	0.818938	img__0_1683168569933523000.png
1683168543745	7.229753	4.244894	-0.520541	0.568055	0.008057	0.021899	0.822660	img__0_1683168569980626000.png
1683168543796	7.203145	4.304260	-0.523136	0.562468	0.007851	0.020055	0.826539	img__0_1683168570031572000.png
1683168543835	7.182202	4.349227	-0.524691	0.558206	0.007657	0.018694	0.829456	img__0_1683168570072860000.png
1683168543883	7.155765	4.404101	-0.526081	0.552977	0.007087	0.017091	0.832991	img__0_1683168570120821000.png
1683168543931	7.128646	4.458492	-0.527115	0.547784	0.007003	0.015915	0.836439	img__0_1683168570169300000.png
1683168544006	7.085005	4.542578	-0.528563	0.539765	0.005661	0.014249	0.841676	img__0_1683168570241615000.png
1683168544048	7.059965	4.589212	-0.529086	0.535307	0.005498	0.013522	0.844532	img__0_1683168570286309000.png
1683168544102	7.027175	4.648715	-0.529791	0.529576	0.005512	0.013021	0.848145	img__0_1683168570338049000.png
1683168544141	7.003086	4.691380	-0.530326	0.525454	0.006102	0.012568	0.850707	img__0_1683168570377119000.png
1683168544192	6.971069	4.746817	-0.530811	0.520082	0.006426	0.012144	0.854006	img__0_1683168570428036000.png
1683168544240	6.940418	4.798654	-0.530313	0.515018	0.006968	0.011899	0.857068	img__0_1683168570477321000.png
1683168544303	6.899405	4.866231	-0.528226	0.508402	0.008148	0.011055	0.861010	img__0_1683168570540208000.png
1683168544351	6.867542	4.917419	-0.525416	0.503375	0.009218	0.010996	0.863949	img__0_1683168570589379000.png
1683168544402	6.833066	4.971555	-0.521291	0.497974	0.010283	0.011392	0.867056	img__0_1683168570640489000.png
1683168544453	6.797878	5.025427	-0.516619	0.492498	0.010625	0.012204	0.870163	img__0_1683168570689904000.png
1683168544504	6.761924	5.079003	-0.512047	0.486865	0.010125	0.014247	0.873302	img__0_1683168570741013000.png
1683168544552	6.727394	5.129082	-0.506905	0.481377	0.008850	0.017026	0.876303	img__0_1683168570787581000.png
1683168544597	6.694405	5.175602	-0.501330	0.476064	0.006972	0.019743	0.879161	img__0_1683168570833181000.png
1683168544645	6.658562	5.224613	-0.494827	0.470237	0.006538	0.023984	0.882190	img__0_1683168570881536000.png
1683168544708	6.610389	5.287680	-0.485954	0.462345	0.006125	0.028933	0.886207	img__0_1683168570946214000.png
1683168544756	6.572792	5.334631	-0.477742	0.456327	0.005764	0.027493	0.889369	img__0_1683168570994505000.png
1683168544807	6.531950	5.383376	-0.469706	0.449978	0.005796	0.025089	0.892668	img__0_1683168571043834000.png
1683168544858	6.490088	5.430849	-0.467220	0.443846	0.006608	0.021587	0.895819	img__0_1683168571093936000.png
1683168544906	6.449819	5.474571	-0.469859	0.438549	0.007041	0.015604	0.898544	img__0_1683168571141745000.png
1683168544951	6.411448	5.515007	-0.474900	0.434164	0.007842	0.010717	0.900736	img__0_1683168571188602000.png
1683168545017	6.354442	5.573886	-0.479649	0.428808	0.004933	0.003945	0.903373	img__0_1683168571254353000.png
1683168545065	6.312589	5.616577	-0.482567	0.425376	0.007793	0.004589	0.904972	img__0_1683168571300920000.png
1683168545113	6.270378	5.659216	-0.484731	0.421835	0.011464	0.004356	0.906590	img__0_1683168571349601000.png
1683168545161	6.227695	5.701872	-0.485076	0.418121	0.013769	0.003095	0.908282	img__0_1683168571398573000.png
1683168545209	6.184425	5.744631	-0.484798	0.414330	0.014919	0.002095	0.910002	img__0_1683168571445034000.png
1683168545257	6.140537	5.787555	-0.483848	0.410497	0.015216	0.001815	0.911733	img__0_1683168571495408000.png
1683168545326	6.076346	5.849580	-0.481682	0.404841	0.015830	0.002233	0.914247	img__0_1683168571561860000.png
1683168545371	6.033746	5.890229	-0.480017	0.401015	0.015763	0.003144	0.915930	img__0_1683168571609202000.png
1683168545419	5.987639	5.933728	-0.478283	0.396904	0.014934	0.002704	0.917735	img__0_1683168571657539000.png
1683168545470	5.937927	5.980090	-0.476610	0.392490	0.014052	0.003268	0.919643	img__0_1683168571707902000.png
1683168545518	5.890490	6.023830	-0.475048	0.388318	0.014169	0.003180	0.921411	img__0_1683168571754995000.png
1683168545566	5.842428	6.067662	-0.473476	0.384118	0.013843	0.003699	0.923173	img__0_1683168571804192000.png
1683168545617	5.790685	6.114309	-0.471708	0.379584	0.013800	0.004882	0.925042	img__0_1683168571855322000.png
1683168545665	5.741333	6.158236	-0.469913	0.375191	0.013645	0.006025	0.926828	img__0_1683168571903102000.png
1683168545740	5.662906	6.226763	-0.467213	0.368028	0.013062	0.008351	0.929685	img__0_1683168571977428000.png
1683168545782	5.618277	6.264995	-0.465761	0.363865	0.012545	0.009353	0.931320	img__0_1683168572020091000.png
1683168545827	5.569890	6.305778	-0.464317	0.359237	0.012601	0.011180	0.933094	img__0_1683168572065530000.png
1683168545875	5.517601	6.349008	-0.463043	0.354123	0.012944	0.012455	0.935026	img__0_1683168572113569000.png
1683168545926	5.461257	6.394569	-0.461772	0.348472	0.013016	0.013952	0.937125	img__0_1683168572162329000.png
1683168545980	5.400695	6.442326	-0.460084	0.342307	0.012532	0.014673	0.939390	img__0_1683168572216822000.png
1683168546022	5.352948	6.479084	-0.458634	0.337362	0.012567	0.016020	0.941155	img__0_1683168572258457000.png
1683168546091	5.273259	6.538620	-0.456599	0.329046	0.010497	0.016049	0.944119	img__0_1683168572328259000.png
1683168546136	5.220519	6.576834	-0.455752	0.323637	0.007614	0.015208	0.946029	img__0_1683168572372441000.png
