TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683167154235	-3.821735	-7.174741	-0.062116	0.959546	0.025143	-0.011863	-0.280177	img__0_1683167159161972000.png
1683167154283	-3.750871	-7.218981	-0.063695	0.961558	0.024949	-0.012466	-0.273180	img__0_1683167159209494000.png
1683167154334	-3.674680	-7.264916	-0.065907	0.963668	0.024250	-0.011120	-0.265768	img__0_1683167159259982000.png
1683167154382	-3.602215	-7.307182	-0.067732	0.965563	0.023832	-0.010026	-0.258881	img__0_1683167159307454000.png
1683167154430	-3.529068	-7.348495	-0.069625	0.967394	0.023984	-0.008274	-0.252001	img__0_1683167159357302000.png
1683167154496	-3.427510	-7.403659	-0.072965	0.969820	0.024965	-0.005859	-0.242472	img__0_1683167159422572000.png
1683167154550	-3.343723	-7.447341	-0.075455	0.971740	0.025173	-0.004697	-0.234659	img__0_1683167159474829000.png
1683167154595	-3.273484	-7.482724	-0.077071	0.973278	0.025116	-0.004408	-0.228208	img__0_1683167159521253000.png
1683167154646	-3.193440	-7.521669	-0.078990	0.974943	0.025971	-0.004275	-0.220894	img__0_1683167159572126000.png
1683167154691	-3.122440	-7.555009	-0.080272	0.976377	0.026689	-0.003952	-0.214385	img__0_1683167159617891000.png
1683167154748	-3.032015	-7.595794	-0.081652	0.978137	0.027449	-0.004844	-0.206086	img__0_1683167159673058000.png
1683167154790	-2.965024	-7.624811	-0.082039	0.979401	0.027550	-0.005718	-0.199956	img__0_1683167159717287000.png
1683167154841	-2.883216	-7.658854	-0.081989	0.980907	0.026627	-0.005637	-0.192563	img__0_1683167159765866000.png
1683167154901	-2.786321	-7.697218	-0.082346	0.982584	0.025115	-0.004542	-0.184058	img__0_1683167159826241000.png
1683167154949	-2.708378	-7.726673	-0.082423	0.983816	0.024590	-0.004105	-0.177439	img__0_1683167159875239000.png
1683167155000	-2.625199	-7.756813	-0.082017	0.985050	0.023545	-0.003756	-0.170610	img__0_1683167159926036000.png
1683167155051	-2.541687	-7.785801	-0.081196	0.986206	0.022226	-0.002259	-0.164008	img__0_1683167159976106000.png
1683167155099	-2.462857	-7.812076	-0.080256	0.987221	0.019943	-0.000136	-0.158107	img__0_1683167160023861000.png
1683167155147	-2.383911	-7.837449	-0.079036	0.988131	0.017862	0.001454	-0.152566	img__0_1683167160072715000.png
1683167155198	-2.300009	-7.863492	-0.077813	0.988986	0.017216	0.003306	-0.146970	img__0_1683167160122928000.png
1683167155267	-2.186626	-7.897254	-0.077054	0.990036	0.016326	0.004474	-0.139790	img__0_1683167160193907000.png
1683167155321	-2.098077	-7.922581	-0.075782	0.990779	0.015936	0.004704	-0.134468	img__0_1683167160246106000.png
1683167155366	-2.024435	-7.942954	-0.074817	0.991352	0.015732	0.004788	-0.130192	img__0_1683167160291359000.png
1683167155414	-1.946044	-7.963953	-0.074127	0.991924	0.015795	0.005090	-0.125742	img__0_1683167160340360000.png
1683167155456	-1.877597	-7.981719	-0.073299	0.992397	0.015856	0.005489	-0.121928	img__0_1683167160382595000.png
1683167155507	-1.794686	-8.002529	-0.071939	0.992942	0.015669	0.005887	-0.117417	img__0_1683167160433713000.png
1683167155552	-1.721739	-8.020182	-0.070993	0.993385	0.016348	0.006914	-0.113456	img__0_1683167160479207000.png
1683167155621	-1.610368	-8.045904	-0.069938	0.994039	0.016588	0.009053	-0.107378	img__0_1683167160546001000.png
1683167155669	-1.533321	-8.062832	-0.069095	0.994470	0.017018	0.010078	-0.103146	img__0_1683167160596327000.png
1683167155717	-1.456692	-8.078925	-0.068775	0.994894	0.017283	0.010771	-0.098847	img__0_1683167160643059000.png
1683167155765	-1.380511	-8.094180	-0.068639	0.995304	0.017318	0.011904	-0.094485	img__0_1683167160692464000.png
1683167155813	-1.304821	-8.108602	-0.068361	0.995688	0.017714	0.013422	-0.090066	img__0_1683167160739557000.png
1683167155864	-1.224998	-8.123020	-0.067129	0.996065	0.018502	0.015470	-0.085287	img__0_1683167160790142000.png
1683167155915	-1.145895	-8.136458	-0.065279	0.996454	0.018106	0.016554	-0.080489	img__0_1683167160839907000.png
1683167155963	-1.072200	-8.148167	-0.064138	0.996776	0.018384	0.018014	-0.075997	img__0_1683167160889210000.png
1683167156026	-0.976666	-8.162179	-0.062282	0.997104	0.020177	0.021932	-0.069965	img__0_1683167160951537000.png
1683167156071	-0.909414	-8.171158	-0.061011	0.997317	0.021692	0.024327	-0.065548	img__0_1683167160995989000.png
1683167156119	-0.838721	-8.179700	-0.060097	0.997572	0.022572	0.025470	-0.060760	img__0_1683167161046724000.png
1683167156167	-0.769121	-8.187177	-0.058593	0.997774	0.024125	0.027316	-0.055852	img__0_1683167161092009000.png
1683167156215	-0.700686	-8.193529	-0.056618	0.998050	0.024021	0.027086	-0.050844	img__0_1683167161142028000.png
1683167156263	-0.633475	-8.198699	-0.055269	0.998396	0.023011	0.023923	-0.045860	img__0_1683167161190526000.png
1683167156338	-0.530497	-8.204735	-0.049797	0.998752	0.022283	0.023436	-0.038072	img__0_1683167161265873000.png
1683167156392	-0.457979	-8.207448	-0.046577	0.999030	0.022335	0.019478	-0.032557	img__0_1683167161316803000.png
1683167156431	-0.406310	-8.208601	-0.044081	0.999229	0.021864	0.015776	-0.028538	img__0_1683167161358133000.png
1683167156476	-0.347295	-8.209073	-0.041964	0.999452	0.019822	0.011352	-0.023938	img__0_1683167161403421000.png
1683167156527	-0.281004	-8.208597	-0.040704	0.999641	0.018243	0.005835	-0.018757	img__0_1683167161452675000.png
1683167156572	-0.222754	-8.207391	-0.039492	0.999678	0.018606	-0.009667	-0.014318	img__0_1683167161499612000.png
1683167156641	-0.132625	-8.204065	-0.038630	0.999521	0.018654	-0.023625	-0.007120	img__0_1683167161566948000.png
