TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683165961217	-2.136628	8.260583	-0.126148	0.255878	-0.011461	-0.025729	-0.966299	img__0_1683165981417831000.png
1683165961283	-2.239088	8.198191	-0.131866	0.264027	-0.009291	-0.024428	-0.964161	img__0_1683165981483241000.png
1683165961334	-2.318375	8.148431	-0.137140	0.270094	-0.008924	-0.023804	-0.962498	img__0_1683165981532071000.png
1683165961388	-2.402401	8.094254	-0.144847	0.276278	-0.009935	-0.023827	-0.960731	img__0_1683165981586412000.png
1683165961430	-2.467827	8.051152	-0.150390	0.280892	-0.011334	-0.024194	-0.959368	img__0_1683165981628915000.png
1683165961478	-2.542730	8.000785	-0.156956	0.286101	-0.011635	-0.025220	-0.957797	img__0_1683165981676254000.png
1683165961532	-2.627168	7.942666	-0.164347	0.291814	-0.012604	-0.025794	-0.956044	img__0_1683165981732262000.png
1683165961574	-2.692976	7.896358	-0.170412	0.296177	-0.012170	-0.025720	-0.954709	img__0_1683165981773263000.png
1683165961646	-2.806061	7.814668	-0.181972	0.303440	-0.013118	-0.026528	-0.952391	img__0_1683165981844179000.png
1683165961691	-2.876932	7.762049	-0.190767	0.307920	-0.013608	-0.026535	-0.950945	img__0_1683165981891916000.png
1683165961736	-2.947962	7.708252	-0.200179	0.312250	-0.014133	-0.025660	-0.949548	img__0_1683165981935443000.png
1683165961787	-3.028672	7.645905	-0.211511	0.316933	-0.012487	-0.023679	-0.948070	img__0_1683165981987365000.png
1683165961832	-3.100018	7.589848	-0.220562	0.320923	-0.009912	-0.022506	-0.946786	img__0_1683165982032725000.png
1683165961880	-3.176173	7.529019	-0.230113	0.325005	-0.007371	-0.020902	-0.945453	img__0_1683165982079353000.png
1683165961946	-3.280785	7.443812	-0.243408	0.330506	-0.001718	-0.019285	-0.943605	img__0_1683165982145786000.png
1683165961994	-3.356586	7.380833	-0.253671	0.334432	0.001558	-0.018945	-0.942228	img__0_1683165982195127000.png
1683165962042	-3.431985	7.317088	-0.264607	0.338384	0.005410	-0.018075	-0.940819	img__0_1683165982242454000.png
1683165962090	-3.506823	7.252657	-0.276440	0.342363	0.009339	-0.017735	-0.939354	img__0_1683165982290874000.png
1683165962141	-3.585555	7.183564	-0.289368	0.346650	0.011960	-0.017851	-0.937749	img__0_1683165982341210000.png
1683165962189	-3.658850	7.118026	-0.300239	0.350733	0.014559	-0.016358	-0.936219	img__0_1683165982389354000.png
1683165962252	-3.753779	7.031434	-0.311085	0.355999	0.017190	-0.015082	-0.934207	img__0_1683165982453250000.png
1683165962300	-3.824958	6.965093	-0.319128	0.359873	0.019193	-0.011181	-0.932737	img__0_1683165982500656000.png
1683165962348	-3.895050	6.898605	-0.328453	0.363358	0.020005	-0.007510	-0.931405	img__0_1683165982548662000.png
1683165962402	-3.972691	6.823860	-0.338024	0.367040	0.026190	-0.004933	-0.929823	img__0_1683165982603018000.png
1683165962450	-4.040504	6.757674	-0.345093	0.370175	0.029482	-0.001215	-0.928493	img__0_1683165982650620000.png
1683165962492	-4.098834	6.700124	-0.350352	0.372710	0.032256	0.003676	-0.927380	img__0_1683165982692402000.png
1683165962561	-4.192196	6.607047	-0.363384	0.375935	0.036778	0.014308	-0.925806	img__0_1683165982759659000.png
1683165962612	-4.259073	6.540132	-0.379066	0.377479	0.038752	0.018111	-0.925030	img__0_1683165982810458000.png
1683165962657	-4.316607	6.482652	-0.396374	0.378381	0.039952	0.021361	-0.924540	img__0_1683165982857081000.png
1683165962705	-4.376646	6.422915	-0.415287	0.378895	0.040728	0.022935	-0.924258	img__0_1683165982904652000.png
1683165962753	-4.435298	6.364963	-0.435021	0.378996	0.041929	0.030177	-0.923955	img__0_1683165982951795000.png
1683165962801	-4.492551	6.309176	-0.456860	0.378523	0.043373	0.035482	-0.923894	img__0_1683165983001068000.png
1683165962852	-4.551856	6.252656	-0.482723	0.377580	0.049239	0.042664	-0.923682	img__0_1683165983052078000.png
1683165962912	-4.619778	6.189750	-0.511482	0.376346	0.052476	0.045269	-0.923883	img__0_1683165983111958000.png
1683165962963	-4.676042	6.139098	-0.530901	0.375545	0.052678	0.038460	-0.924506	img__0_1683165983162092000.png
1683165963011	-4.728014	6.093001	-0.539869	0.375625	0.045402	0.022554	-0.925384	img__0_1683165983211854000.png
1683165963059	-4.778866	6.048145	-0.542307	0.376344	0.042231	0.010108	-0.925462	img__0_1683165983260246000.png
1683165963107	-4.828138	6.004433	-0.543952	0.377726	0.040632	-0.001944	-0.925024	img__0_1683165983307553000.png
1683165963158	-4.878414	5.958748	-0.547714	0.380155	0.035609	-0.012462	-0.924153	img__0_1683165983357341000.png
1683165963221	-4.937948	5.902495	-0.552265	0.384146	0.018295	-0.020748	-0.922858	img__0_1683165983421732000.png
1683165963278	-4.990161	5.850957	-0.554555	0.388402	0.006098	-0.028145	-0.921040	img__0_1683165983479163000.png
1683165963320	-5.027906	5.812086	-0.556236	0.392070	-0.001799	-0.034482	-0.919287	img__0_1683165983520682000.png
1683165963368	-5.070578	5.766450	-0.555945	0.396523	-0.012991	-0.040814	-0.917025	img__0_1683165983567618000.png
1683165963416	-5.113033	5.719059	-0.554137	0.401427	-0.020610	-0.045186	-0.914544	img__0_1683165983615384000.png
1683165963464	-5.155478	5.669614	-0.550835	0.406811	-0.024978	-0.048334	-0.911891	img__0_1683165983664224000.png
1683165963512	-5.198037	5.617820	-0.546704	0.412555	-0.028768	-0.051626	-0.909013	img__0_1683165983713076000.png
1683165963563	-5.243469	5.559886	-0.542503	0.419155	-0.029988	-0.052688	-0.905888	img__0_1683165983762519000.png
1683165963632	-5.305274	5.476565	-0.537504	0.429012	-0.027544	-0.052929	-0.901326	img__0_1683165983832745000.png
1683165963680	-5.348376	5.415440	-0.533074	0.436139	-0.027417	-0.054755	-0.897794	img__0_1683165983880017000.png
1683165963728	-5.391499	5.351594	-0.528516	0.443775	-0.024052	-0.053151	-0.894237	img__0_1683165983928701000.png
1683165963776	-5.434538	5.285220	-0.522974	0.451256	-0.025199	-0.052469	-0.890495	img__0_1683165983975044000.png
1683165963824	-5.477485	5.216267	-0.517169	0.458832	-0.025034	-0.052033	-0.886645	img__0_1683165984023142000.png
1683165963881	-5.528344	5.130983	-0.510720	0.467905	-0.023824	-0.051014	-0.881983	img__0_1683165984080727000.png
1683165963920	-5.563022	5.070621	-0.505933	0.474192	-0.022000	-0.050269	-0.878710	img__0_1683165984120667000.png
1683165963986	-5.621370	4.965084	-0.495457	0.484821	-0.019017	-0.047669	-0.873106	img__0_1683165984185994000.png
1683165964037	-5.666060	4.880656	-0.486521	0.493017	-0.015644	-0.046862	-0.868616	img__0_1683165984237345000.png
1683165964085	-5.707661	4.798900	-0.478839	0.500632	-0.014626	-0.044775	-0.864378	img__0_1683165984284253000.png
1683165964133	-5.748765	4.715058	-0.471582	0.508409	-0.009361	-0.045290	-0.859873	img__0_1683165984333731000.png
1683165964184	-5.791708	4.623820	-0.464275	0.516525	-0.008877	-0.041215	-0.855234	img__0_1683165984383447000.png
1683165964229	-5.828978	4.541717	-0.457030	0.523444	-0.006016	-0.038747	-0.851158	img__0_1683165984430459000.png
1683165964280	-5.870524	4.447098	-0.447158	0.530977	-0.004985	-0.034661	-0.846662	img__0_1683165984480661000.png
1683165964340	-5.918472	4.333899	-0.433677	0.539356	-0.002515	-0.028051	-0.841607	img__0_1683165984540843000.png
1683165964388	-5.956170	4.242168	-0.421165	0.545637	-0.000477	-0.024874	-0.837652	img__0_1683165984588999000.png
1683165964439	-5.995539	4.143707	-0.408006	0.551994	0.001258	-0.022602	-0.833541	img__0_1683165984638569000.png
