TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683166723869	-6.902701	1.951783	-1.275025	0.697953	-0.036739	-0.024522	-0.714781	img__0_1683166752951178000.png
1683166723917	-6.900740	1.879330	-1.295602	0.692512	-0.033808	-0.018047	-0.720387	img__0_1683166752999745000.png
1683166723983	-6.898984	1.776736	-1.328176	0.685688	-0.029991	-0.014181	-0.727139	img__0_1683166753064126000.png
1683166724028	-6.898434	1.705086	-1.353049	0.681540	-0.027165	-0.010359	-0.731203	img__0_1683166753111512000.png
1683166724076	-6.898439	1.627495	-1.380716	0.677426	-0.023383	-0.004432	-0.735206	img__0_1683166753158913000.png
1683166724127	-6.899201	1.544059	-1.412151	0.673477	-0.018950	0.001641	-0.738964	img__0_1683166753208183000.png
1683166724172	-6.900574	1.469919	-1.442058	0.670382	-0.011995	0.010197	-0.741849	img__0_1683166753255305000.png
1683166724223	-6.902845	1.385886	-1.475117	0.667423	-0.005104	0.016293	-0.744483	img__0_1683166753306133000.png
1683166724274	-6.905844	1.302309	-1.507672	0.664926	0.001374	0.022069	-0.746582	img__0_1683166753355121000.png
1683166724340	-6.910755	1.195572	-1.550115	0.662332	0.009125	0.028637	-0.748607	img__0_1683166753422135000.png
1683166724391	-6.915266	1.114662	-1.582883	0.660955	0.013567	0.030214	-0.749694	img__0_1683166753472770000.png
1683166724436	-6.919648	1.044553	-1.610388	0.660150	0.016227	0.033447	-0.750214	img__0_1683166753518820000.png
1683166724484	-6.924740	0.971314	-1.639177	0.659523	0.014912	0.036339	-0.750657	img__0_1683166753566657000.png
1683166724532	-6.930301	0.899620	-1.665572	0.658973	0.016896	0.035389	-0.751143	img__0_1683166753615384000.png
1683166724580	-6.936295	0.829477	-1.689441	0.658813	0.018373	0.034500	-0.751291	img__0_1683166753662812000.png
1683166724652	-6.945946	0.727465	-1.723360	0.659419	0.028271	0.036213	-0.750371	img__0_1683166753735048000.png
1683166724700	-6.952586	0.662256	-1.748499	0.660416	0.038725	0.039284	-0.748871	img__0_1683166753781474000.png
1683166724745	-6.958693	0.603631	-1.774234	0.662136	0.044285	0.040104	-0.746998	img__0_1683166753825973000.png
1683166724799	-6.965632	0.536822	-1.808417	0.664727	0.049589	0.039897	-0.744370	img__0_1683166753881347000.png
1683166724844	-6.970968	0.483984	-1.837474	0.667897	0.051329	0.031037	-0.741832	img__0_1683166753925792000.png
1683166724892	-6.976006	0.429792	-1.865433	0.672461	0.044550	0.014677	-0.738645	img__0_1683166753972859000.png
1683166724937	-6.979988	0.380378	-1.887499	0.677074	0.036246	0.002031	-0.735019	img__0_1683166754020370000.png
1683166724988	-6.983775	0.325210	-1.903195	0.682378	0.026138	-0.008701	-0.730480	img__0_1683166754070809000.png
1683166725054	-6.987436	0.254284	-1.910250	0.689024	0.012684	-0.024305	-0.724220	img__0_1683166754136924000.png
1683166725102	-6.988894	0.202397	-1.911785	0.693911	0.006904	-0.032653	-0.719287	img__0_1683166754184149000.png
1683166725153	-6.989115	0.146404	-1.912922	0.699316	0.002481	-0.037776	-0.713810	img__0_1683166754235051000.png
1683166725198	-6.988102	0.095964	-1.914001	0.704141	-0.000550	-0.044377	-0.708671	img__0_1683166754281724000.png
1683166725246	-6.985714	0.040835	-1.914668	0.709455	-0.003815	-0.050173	-0.702952	img__0_1683166754329415000.png
1683166725294	-6.981813	-0.016009	-1.915732	0.714884	-0.007007	-0.055762	-0.696981	img__0_1683166754376321000.png
1683166725357	-6.974282	-0.093610	-1.917276	0.722289	-0.010190	-0.058120	-0.689069	img__0_1683166754439726000.png
1683166725411	-6.965652	-0.163015	-1.918347	0.728702	-0.011725	-0.059763	-0.682117	img__0_1683166754493530000.png
1683166725459	-6.956316	-0.226988	-1.918497	0.734328	-0.013433	-0.062871	-0.675743	img__0_1683166754541003000.png
1683166725510	-6.944612	-0.297451	-1.918000	0.740444	-0.014374	-0.061949	-0.669103	img__0_1683166754591506000.png
1683166725555	-6.932696	-0.361883	-1.918056	0.745642	-0.015815	-0.062812	-0.663191	img__0_1683166754637930000.png
1683166725609	-6.916454	-0.441995	-1.918306	0.751960	-0.014819	-0.063259	-0.655999	img__0_1683166754690956000.png
1683166725651	-6.902294	-0.506443	-1.919002	0.756507	-0.017712	-0.064279	-0.650578	img__0_1683166754733787000.png
1683166725705	-6.881995	-0.592400	-1.922702	0.762008	-0.021677	-0.063850	-0.644048	img__0_1683166754786537000.png
1683166725771	-6.854328	-0.702047	-1.928633	0.768396	-0.023363	-0.063663	-0.636372	img__0_1683166754854805000.png
1683166725813	-6.835122	-0.774504	-1.933329	0.772182	-0.024247	-0.062531	-0.631852	img__0_1683166754895945000.png
1683166725867	-6.808765	-0.870559	-1.939074	0.776771	-0.025026	-0.060921	-0.626330	img__0_1683166754948917000.png
1683166725921	-6.780470	-0.970109	-1.946760	0.780838	-0.026735	-0.059882	-0.621282	img__0_1683166755003057000.png
1683166725963	-6.757250	-1.049839	-1.952984	0.783890	-0.026175	-0.058855	-0.617550	img__0_1683166755044140000.png
1683166726017	-6.725900	-1.155133	-1.960478	0.787704	-0.024443	-0.056888	-0.612934	img__0_1683166755100349000.png
1683166726062	-6.698568	-1.245045	-1.965209	0.790727	-0.022960	-0.053874	-0.609362	img__0_1683166755143740000.png
1683166726125	-6.658437	-1.374198	-1.971388	0.794589	-0.021065	-0.049971	-0.604721	img__0_1683166755206474000.png
1683166726173	-6.626456	-1.475016	-1.976063	0.797339	-0.019180	-0.046769	-0.601411	img__0_1683166755254357000.png
1683166726224	-6.591218	-1.584225	-1.981010	0.800105	-0.016941	-0.042094	-0.598141	img__0_1683166755307835000.png
1683166726272	-6.557006	-1.688682	-1.984575	0.802633	-0.012397	-0.037841	-0.595143	img__0_1683166755354636000.png
1683166726320	-6.521856	-1.794457	-1.986533	0.804984	-0.009646	-0.034768	-0.592199	img__0_1683166755403953000.png
1683166726368	-6.485729	-1.901433	-1.988296	0.807222	-0.007016	-0.031865	-0.589345	img__0_1683166755450358000.png
1683166726416	-6.448608	-2.009501	-1.991027	0.809292	-0.006426	-0.028788	-0.586666	img__0_1683166755498861000.png
1683166726482	-6.396050	-2.159711	-1.997763	0.811784	-0.006068	-0.024754	-0.583401	img__0_1683166755563873000.png
1683166726530	-6.356892	-2.269971	-2.004135	0.813386	-0.004805	-0.021081	-0.581322	img__0_1683166755612275000.png
1683166726578	-6.317143	-2.380836	-2.009056	0.814911	-0.001696	-0.017032	-0.579333	img__0_1683166755660513000.png
1683166726626	-6.276867	-2.492109	-2.012912	0.816352	0.001163	-0.012429	-0.577419	img__0_1683166755710309000.png
1683166726674	-6.236144	-2.603577	-2.016590	0.817718	0.004810	-0.004695	-0.575579	img__0_1683166755757772000.png
1683166726722	-6.195127	-2.714928	-2.020889	0.818972	0.008384	0.001758	-0.573770	img__0_1683166755806209000.png
1683166726776	-6.148825	-2.839662	-2.026425	0.820331	0.013098	0.008804	-0.571672	img__0_1683166755857497000.png
1683166726824	-6.107669	-2.949714	-2.031689	0.821561	0.016878	0.013654	-0.569707	img__0_1683166755907022000.png
1683166726896	-6.046145	-3.112718	-2.040835	0.823518	0.020716	0.018471	-0.566611	img__0_1683166755979357000.png
