TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683168956840	6.243848	0.485643	-0.941391	0.666508	0.001891	0.005315	0.745477	img__0_1683168961671590000.png
1683168956885	6.237733	0.573232	-0.939716	0.665406	0.002400	0.004948	0.746461	img__0_1683168961716493000.png
1683168956951	6.228421	0.701454	-0.937498	0.663836	0.002246	0.005112	0.747857	img__0_1683168961782312000.png
1683168956996	6.221824	0.788709	-0.936622	0.662769	0.002881	0.005455	0.748798	img__0_1683168961828348000.png
1683168957047	6.214078	0.887424	-0.936276	0.661540	0.002330	0.006498	0.749878	img__0_1683168961876322000.png
1683168957095	6.206511	0.980129	-0.936452	0.660425	0.001962	0.006347	0.750862	img__0_1683168961925038000.png
1683168957143	6.198695	1.072620	-0.936710	0.659398	0.000831	0.005809	0.751771	img__0_1683168961974255000.png
1683168957194	6.190174	1.170641	-0.937003	0.658422	-0.000294	0.005502	0.752629	img__0_1683168962023619000.png
1683168957266	6.177857	1.308555	-0.937665	0.657257	-0.000385	0.004093	0.753656	img__0_1683168962095722000.png
1683168957311	6.170033	1.394508	-0.937969	0.656684	-0.000806	0.003312	0.754158	img__0_1683168962140463000.png
1683168957365	6.160571	1.497420	-0.938503	0.656104	-0.002211	0.003736	0.754658	img__0_1683168962194456000.png
1683168957404	6.153713	1.571552	-0.939038	0.655742	-0.002586	0.003903	0.754971	img__0_1683168962235617000.png
1683168957455	6.144722	1.668226	-0.940051	0.655313	-0.002930	0.004405	0.755339	img__0_1683168962285520000.png
1683168957500	6.136765	1.753257	-0.941073	0.654937	-0.002242	0.004631	0.755666	img__0_1683168962331009000.png
1683168957551	6.127691	1.849331	-0.942244	0.654518	-0.001937	0.004434	0.756031	img__0_1683168962382683000.png
1683168957617	6.115871	1.973217	-0.943829	0.654113	-0.003707	0.004120	0.756376	img__0_1683168962447995000.png
1683168957665	6.107281	2.062963	-0.945286	0.653899	-0.004554	0.003993	0.756558	img__0_1683168962495060000.png
1683168957713	6.098735	2.152381	-0.947060	0.653760	-0.004141	0.003236	0.756684	img__0_1683168962544966000.png
1683168957764	6.089718	2.247069	-0.949296	0.653734	-0.004022	0.001235	0.756713	img__0_1683168962595120000.png
1683168957815	6.080808	2.341510	-0.951935	0.653854	-0.002613	0.000561	0.756616	img__0_1683168962646144000.png
1683168957863	6.072517	2.430236	-0.954842	0.653976	-0.001268	-0.000457	0.756514	img__0_1683168962693795000.png
1683168957908	6.064806	2.513346	-0.957672	0.654104	0.000526	-0.001993	0.756402	img__0_1683168962740437000.png
1683168957956	6.056628	2.602023	-0.960828	0.654250	0.001955	-0.002960	0.756270	img__0_1683168962788219000.png
1683168958022	6.045425	2.724145	-0.965537	0.654402	0.005198	-0.004571	0.756115	img__0_1683168962852005000.png
1683168958073	6.036746	2.818804	-0.969264	0.654529	0.006151	-0.006005	0.755988	img__0_1683168962902588000.png
1683168958118	6.029064	2.902641	-0.972700	0.654713	0.007264	-0.007993	0.755801	img__0_1683168962948926000.png
1683168958166	6.020864	2.992491	-0.977067	0.655011	0.007004	-0.008787	0.755536	img__0_1683168962996264000.png
1683168958223	6.011168	3.099762	-0.981496	0.655583	0.005419	-0.010311	0.755033	img__0_1683168963052773000.png
1683168958265	6.004118	3.179203	-0.983998	0.656135	0.005294	-0.010629	0.754550	img__0_1683168963096145000.png
1683168958337	5.992328	3.316221	-0.988278	0.657526	0.002092	-0.013326	0.753311	img__0_1683168963166832000.png
1683168958382	5.985285	3.402369	-0.990139	0.658893	-0.001072	-0.014860	0.752090	img__0_1683168963214652000.png
1683168958427	5.978662	3.488888	-0.991807	0.660579	-0.002484	-0.016999	0.750560	img__0_1683168963257946000.png
1683168958481	5.971404	3.593231	-0.993929	0.662964	-0.003417	-0.018387	0.748418	img__0_1683168963311279000.png
1683168958526	5.965995	3.680627	-0.995608	0.665279	-0.003980	-0.019206	0.746337	img__0_1683168963357604000.png
1683168958571	5.961233	3.768457	-0.997930	0.667912	-0.003275	-0.020199	0.743959	img__0_1683168963401487000.png
1683168958637	5.955411	3.898122	-1.001549	0.672419	-0.002856	-0.021246	0.739860	img__0_1683168963468170000.png
1683168958682	5.952244	3.987139	-1.004015	0.675864	-0.003074	-0.021468	0.736707	img__0_1683168963514554000.png
1683168958733	5.949465	4.088621	-1.006776	0.680042	-0.003700	-0.021453	0.732850	img__0_1683168963563219000.png
1683168958781	5.947678	4.184706	-1.009961	0.684165	-0.003842	-0.021476	0.729001	img__0_1683168963612699000.png
1683168958835	5.946681	4.293480	-1.015352	0.688961	-0.003771	-0.021573	0.724467	img__0_1683168963664867000.png
1683168958880	5.946647	4.384657	-1.020563	0.693057	-0.004191	-0.021454	0.720551	img__0_1683168963712099000.png
1683168958934	5.947538	4.494647	-1.026553	0.698079	-0.005394	-0.021191	0.715687	img__0_1683168963764299000.png
1683168958979	5.949091	4.586750	-1.031576	0.702339	-0.006559	-0.020871	0.711506	img__0_1683168963811669000.png
1683168959042	5.952579	4.716284	-1.038945	0.708397	-0.007929	-0.020656	0.705468	img__0_1683168963874312000.png
1683168959090	5.956335	4.815399	-1.045690	0.713015	-0.008351	-0.020578	0.700797	img__0_1683168963922206000.png
1683168959138	5.961098	4.914866	-1.054384	0.717571	-0.008353	-0.020653	0.696129	img__0_1683168963970102000.png
1683168959192	5.967651	5.027177	-1.066169	0.722591	-0.008374	-0.020662	0.690916	img__0_1683168964022586000.png
1683168959240	5.974534	5.127365	-1.078234	0.726931	-0.007877	-0.020916	0.686346	img__0_1683168964069951000.png
1683168959288	5.982407	5.227900	-1.091802	0.731172	-0.007837	-0.021064	0.681823	img__0_1683168964118932000.png
1683168959336	5.991276	5.328787	-1.106850	0.735290	-0.007296	-0.021354	0.677376	img__0_1683168964168451000.png
1683168959390	6.002417	5.442712	-1.125021	0.739800	-0.007829	-0.021224	0.672447	img__0_1683168964221730000.png
1683168959441	6.014051	5.550686	-1.142581	0.743964	-0.008774	-0.021102	0.667829	img__0_1683168964273208000.png
1683168959501	6.029177	5.678131	-1.164369	0.748773	-0.010022	-0.020743	0.662426	img__0_1683168964332010000.png
1683168959552	6.043290	5.786739	-1.183806	0.752761	-0.012234	-0.020031	0.657876	img__0_1683168964382541000.png
1683168959600	6.057646	5.889087	-1.202338	0.756437	-0.014204	-0.019445	0.653624	img__0_1683168964432642000.png
1683168959648	6.073111	5.991468	-1.221661	0.760030	-0.015671	-0.018868	0.649426	img__0_1683168964480254000.png
1683168959699	6.090851	6.100197	-1.244404	0.763726	-0.016320	-0.018672	0.645065	img__0_1683168964530342000.png
1683168959747	6.108828	6.202435	-1.268554	0.767074	-0.017498	-0.018073	0.641066	img__0_1683168964579408000.png
1683168959801	6.130493	6.317266	-1.297699	0.770658	-0.019074	-0.017307	0.636728	img__0_1683168964631840000.png
1683168959849	6.150944	6.419094	-1.323300	0.773657	-0.021448	-0.015698	0.633047	img__0_1683168964680060000.png
1683168959897	6.172550	6.520555	-1.348870	0.776523	-0.024868	-0.014206	0.629438	img__0_1683168964729648000.png
1683168959960	6.202640	6.652870	-1.381120	0.780445	-0.033468	-0.007346	0.624284	img__0_1683168964792191000.png
1683168960008	6.226775	6.752667	-1.402680	0.783492	-0.039797	0.000069	0.620126	img__0_1683168964840343000.png
1683168960065	6.256607	6.869592	-1.423034	0.787026	-0.045410	0.006864	0.615209	img__0_1683168964896732000.png
1683168960104	6.251549	6.834908	-1.417776	0.787737	-0.044584	0.007035	0.614356	img__0_1683168964936593000.png
1683168960152	6.251222	6.833375	-1.416814	0.787835	-0.031784	-0.005980	0.615036	img__0_1683168964983833000.png
1683168960203	6.259470	6.839230	-1.418998	0.787897	-0.015470	-0.022669	0.615195	img__0_1683168965033615000.png
